Y,Z
7.5,37.5
22.5,37.5
37.5,37.5
52.5,37.5
67.5,37.5
82.5,37.5
97.5,37.5
112.5,37.5
127.5,37.5
142.5,37.5
7.5,52.5
22.5,52.5
37.5,52.5
52.5,52.5
67.5,52.5
82.5,52.5
97.5,52.5
112.5,52.5
127.5,52.5
142.5,52.5
7.5,67.5
22.5,67.5
37.5,67.5
52.5,67.5
67.5,67.5
82.5,67.5
97.5,67.5
112.5,67.5
127.5,67.5
142.5,67.5
7.5,82.5
22.5,82.5
37.5,82.5
52.5,82.5
67.5,82.5
82.5,82.5
97.5,82.5
112.5,82.5
127.5,82.5
142.5,82.5
7.5,97.5
22.5,97.5
37.5,97.5
52.5,97.5
67.5,97.5
82.5,97.5
97.5,97.5
112.5,97.5
127.5,97.5
142.5,97.5
7.5,112.5
22.5,112.5
37.5,112.5
52.5,112.5
67.5,112.5
82.5,112.5
97.5,112.5
112.5,112.5
127.5,112.5
142.5,112.5
7.5,127.5
22.5,127.5
37.5,127.5
52.5,127.5
67.5,127.5
82.5,127.5
97.5,127.5
112.5,127.5
127.5,127.5
142.5,127.5
7.5,142.5
22.5,142.5
37.5,142.5
52.5,142.5
67.5,142.5
82.5,142.5
97.5,142.5
112.5,142.5
127.5,142.5
142.5,142.5
7.5,157.5
22.5,157.5
37.5,157.5
52.5,157.5
67.5,157.5
82.5,157.5
97.5,157.5
112.5,157.5
127.5,157.5
142.5,157.5
7.5,172.5
22.5,172.5
37.5,172.5
52.5,172.5
67.5,172.5
82.5,172.5
97.5,172.5
112.5,172.5
127.5,172.5
142.5,172.5
